Customer: 94, Date: 2014-01-08T19:36:10
Customer: 4, Date: 2014-06-03T16:42:24
Customer: 39, Date: 2013-02-20T19:18:46
Customer: 74, Date: 2013-03-10T00:48:01
Customer: 76, Date: 2013-02-26T07:28:48
Customer: 88, Date: 2013-01-19T18:11:27
Customer: 96, Date: 2011-12-03T12:06:24
Customer: 25, Date: 2013-01-13T06:16:43
Customer: 60, Date: 2013-01-25T14:36:07
Customer: 51, Date: 2011-11-28T19:37:29
Customer: 34, Date: 2013-08-31T21:00:56
Customer: 69, Date: 2013-12-21T08:20:01
Customer: 13, Date: 2013-01-06T12:33:02
Customer: 100, Date: 2012-09-05T23:13:55
Customer: 44, Date: 2014-05-04T17:57:42
Customer: 49, Date: 2013-10-16T02:43:17
Customer: 81, Date: 2011-12-04T12:57:35
Customer: 12, Date: 2011-11-30T01:16:14
Customer: 4, Date: 2013-01-07T04:59:25
